property_phys_chem_id,procedure_phys_chem_id,unit_of_measure_id,value_min,value_max,definition,citation,reference
Potassium (K) - extractable,Extr_hcl-nh4f-bray1,cmol/kg,0,1000,Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Potassium (K) - extractable,Extr_hcl-nh4f-bray2,cmol/kg,0,1000,Method of Bray II (dilute HCl/NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Potassium (K) - extractable,Extr_hcl-nh4f-kurtz-bray,cmol/kg,0,1000,Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.,,https://doi.org/10.1097/00010694-194501000-00006
Potassium (K) - extractable,Extr_hno3,cmol/kg,0,1000,Nitric acid (HNO3) method,"ISO. ISO/DIS 17586 Soil Quality - Extraction of Trace Elements Using Dilute Nitric Acid, 2016; p 14",https://www.iso.org/standard/60060.html
Potassium (K) - extractable,Extr_hotwater,cmol/kg,0,1000,Hot water. Particularly used for available B,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - extractable,Extr_m1,cmol/kg,0,1000,Mehlich1 method,,https://www.ncagr.gov/AGRONOMI/pdffiles/mehlich53.pdf
Potassium (K) - extractable,Extr_m2,cmol/kg,0,1000,Mehlich2 method,,https://doi.org/10.1080/00103627609366673
Potassium (K) - extractable,Extr_m3,cmol/kg,0,1000,Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA),,https://doi.org/10.1080/00103628409367568
Potassium (K) - extractable,Extr_m3-spec,cmol/kg,0,1000,Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA),,https://doi.org/10.1080/00103628409367568
Potassium (K) - extractable,Extr_nahco3-olsen,cmol/kg,0,1000,Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.,,https://acsess.onlinelibrary.wiley.com/doi/book/10.2134/agronmonogr9.2
Potassium (K) - extractable,Extr_nahco3-olsen-dabin,cmol/kg,0,1000,"Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.",,https://docplayer.fr/81912854-Application-des-dosages-automatiques-a-l-analyse-des-sols-2e-partie-par.html
Potassium (K) - extractable,Extr_naoac-morgan,cmol/kg,0,1000,Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.,,https://portal.ct.gov/-/media/CAES/DOCUMENTS/Publications/Bulletins/B450pdf.pdf?la=en
Potassium (K) - extractable,Extr_nh4ch3ch-oh-cooh-leuven,cmol/kg,0,1000,NH4-lactate extraction method (KU-Leuven). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - extractable,Extr_nh4-co3-2-ambic1,cmol/kg,0,1000,Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_h2so4,cmol/kg,0,1000,Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_hcl,cmol/kg,0,1000,HCl extraction. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_hcl-aquaregia,cmol/kg,0,1000,Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_hclo4,cmol/kg,0,1000,Perchloric acid percolation. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_hno3-aquafortis,cmol/kg,0,1000,Nitric acid attack. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_nh4-6mo7o24,cmol/kg,0,1000,COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp03,cmol/kg,0,1000,reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp04,cmol/kg,0,1000,acid fleischman. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp05,cmol/kg,0,1000,8 M HCl extraction. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp06,cmol/kg,0,1000,"Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp07,cmol/kg,0,1000,1:1 H2SO4 : HNO3. Particularly used for Total P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp08,cmol/kg,0,1000,"After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_tp09,cmol/kg,0,1000,"Walker and Adams, 1958. Particularly used for Total P.","WALKER, T. W., AND A. F. R. ADAMS. 1958. Studies on soil organic matter. I. Soil Sci. 85: 307-318. ",
Potassium (K) - total,Total_tp10,cmol/kg,0,1000,"Colorimetric, unspecified extract","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_unkn,cmol/kg,0,1000,Unspecified method,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_xrd,cmol/kg,0,1000,XRD,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_xrf,cmol/kg,0,1000,XRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_xrf-p,cmol/kg,0,1000,PXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Potassium (K) - total,Total_xtf-t,cmol/kg,0,1000,TXRF,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sand texture fraction,SaSiCl_2-20-2000u,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-adj100,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-beaker,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-disp-spec,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-fld,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-20-2000u-nodisp-spec,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-adj100,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-beaker,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-disp-spec,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-fld,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-50-2000u-nodisp-spec,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-adj100,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-beaker,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-disp-spec,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-fld,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp-laser,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp-pipette,%,0,100,,,
Sand texture fraction,SaSiCl_2-64-2000u-nodisp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-adj100,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-beaker,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-disp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-fld,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-20-2000u-nodisp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-adj100,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-beaker,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-disp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-fld,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-50-2000u-nodisp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-adj100,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-beaker,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-disp-spec,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-fld,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp-hydrometer-bouy,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp-laser,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp-pipette,%,0,100,,,
Silt texture fraction,SaSiCl_2-64-2000u-nodisp-spec,%,0,100,,,
Sodium (Na+) - exchangeable,ExchBases_ph0-cohex,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unbuffered, in Cobalt(III) hexamine chloride solution 0,0166M (Cohex) [Co[NH3]6]Cl3 ), ISO 23470 (2007)",,https://www.iso.org/standard/36879.html
Sodium (Na+) - exchangeable,ExchBases_ph0-nh4cl,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unbuffered, in 1 M NH4Cl (0.05-1.0 m?)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph7-nh4oac,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph7-nh4oac-aas,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, Ca and Mg with AAS (Atomic Absorption Spectrometry)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph7-nh4oac-fp,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, K and Na with FP (Flame Photometry)","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph7-unkn,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 7, in unknown solution",,https://www.isric.org/sites/default/files/WOSISprocedureManual_2020nov17web.pdf#page=70
Sodium (Na+) - exchangeable,ExchBases_ph8-bacl2tea,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in 0.5 M BaCl2 - TEA solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph8-unkn,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in unknown solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph-unkn-edta,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unknown buffer, in EDTA solution","Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na+) - exchangeable,ExchBases_ph-unkn-m3,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg",,https://doi.org/10.1080/00103628409367568
Sodium (Na+) - exchangeable,ExchBases_ph-unkn-m3-spec,cmol/kg,0,100,"Exch bases (Ca, Mg, K, Na) spectrally measured and converted to, unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg",,https://doi.org/10.1080/00103628409367568
Sodium (Na) - extractable,Extr_ap14,cmol/kg,0,1000,Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.,Saunders and Metelerkamp,
Sodium (Na) - extractable,Extr_ap15,cmol/kg,0,1000,Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.,"Hunter, A. 1975. New techniques and equipment for routine soil/plant analytical procedures. In: Soil Management in Tropical America. (eds E. Borremiza & A. Alvarado). N.C. State University, Raleigh, NC.",
Sodium (Na) - extractable,Extr_ap20,cmol/kg,0,1000,Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
Sodium (Na) - extractable,Extr_ap21,cmol/kg,0,1000,Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf
